ms,outcome
2585275,Good hit
2606542,Good hit
2625818,Out
2640571,Out
2673338,Good hit
2688083,Good hit
2706556,Bad hit
2741371,Out
2743310,Out
2768091,Out
2808026,Good hit
2855174,Lost point
2896962,Bad hit
2905887,Out
2920055,Bad hit
2958981,Out
2991584,Good hit
3029093,Out
3043746,Unforced error
3065700,Out
3083177,Bad hit
3134509,Good hit
3156690,Lost point
3185799,Good hit
3201955,Out
3219058,Unforced error
3254341,Good hit
3277995,Lost point
3300400,Out
3311679,Good hit
3328732,Lost point
3342800,Out
3352264,Lost point
3369400,Lost point
3385474,Good hit
3411731,Lost point
3425446,Bad hit
3432283,Bad hit
3453933,Bad hit
